Level,Date,State FIPS,State Postal Code,County FIPS,County Name,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500,Row ID,Week,Month
County,2020-03-24,6.0,CA,6083.0,Santa Barbara County,0.6730284306365614,0.32697156936343863,960001.0,0.15080932406910127,0.11225025018116568,0.05766379213797738,0.07545806397949661,89893.0,45060.0,25368.0,9293.0,1332.0,615.0,06-06083-20200324,12,3
County,2020-03-25,6.0,CA,6083.0,Santa Barbara County,0.6931435391041558,0.3068564608958442,925912.0,0.14280068903689333,0.08259429241864799,0.05713965729644977,0.07461588648279124,87990.0,49071.0,23016.0,9350.0,1531.0,474.0,06-06083-20200325,12,3
County,2020-03-26,6.0,CA,6083.0,Santa Barbara County,0.6856749629458528,0.31432503705414716,951786.0,0.14717285724345305,0.09112575773261097,0.09826632321648561,0.05718229243833779,90472.0,49265.0,23005.0,9664.0,1356.0,313.0,06-06083-20200326,12,3
County,2020-03-27,6.0,CA,6083.0,Santa Barbara County,0.6702662123924468,0.3297337876075533,955514.0,0.14945353152427868,0.10026110861888494,0.07699406428491433,0.08798415458635829,84805.0,44322.0,25836.0,8338.0,1609.0,428.0,06-06083-20200327,12,3
County,2020-03-28,6.0,CA,6083.0,Santa Barbara County,0.7262035379492214,0.2737964620507786,872812.0,0.12455424378831559,0.08755880695216076,0.04628513831336096,0.060631581136263796,66772.0,43328.0,18234.0,10958.0,1805.0,506.0,06-06083-20200328,12,3
County,2020-03-29,6.0,CA,6083.0,Santa Barbara County,0.796375430694308,0.2036245693056919,803249.0,0.097803090576401,0.0819512980664159,0.024354350991152424,0.02415021951200493,64587.0,28946.0,21052.0,9867.0,1158.0,584.0,06-06083-20200329,13,3
County,2020-03-30,6.0,CA,6083.0,Santa Barbara County,0.6529614444380282,0.3470385555619719,938448.0,0.1293983118806314,0.09795369060354049,0.0781700078396237,0.08763324729606438,86084.0,48077.0,24862.0,8226.0,998.0,723.0,06-06083-20200330,13,3
County,2020-03-31,6.0,CA,6083.0,Santa Barbara County,0.6640103174144867,0.33598968258551326,966956.0,0.1471644492276712,0.11277131716070257,0.0696696158584388,0.08579033419370602,90509.0,53070.0,18845.0,8030.0,1155.0,587.0,06-06083-20200331,13,3
County,2020-04-01,6.0,CA,6083.0,Santa Barbara County,0.6706223171834998,0.32937768281650015,948839.0,0.13030532658309799,0.09678847901353854,0.07416508007615634,0.11400068102007449,87437.0,50644.0,25763.0,5725.0,1170.0,416.0,06-06083-20200401,13,4
County,2020-04-02,6.0,CA,6083.0,Santa Barbara County,0.6768589632538353,0.3231410367461647,937907.0,0.11921200076092543,0.10406271207886171,0.09758987568596707,0.09035212896752678,80497.0,46772.0,25668.0,7986.0,1437.0,734.0,06-06083-20200402,13,4
